STAID, SOUID,    DATE,   TG, Q_TG
   929,108886,19660101,   30,    0
   929,108886,19660102,   49,    0
   929,108886,19660103,   45,    0
   929,108886,19660104,   -3,    0
   929,108886,19660105,  -67,    0
   929,108886,19660106,  -74,    0
   929,108886,19660107,  -60,    0
   929,108886,19660108,  -84,    0
   929,108886,19660109,  -92,    0
   929,108886,19660110,  -84,    0
   929,108886,19660111,  -89,    0
   929,108886,19660112,  -88,    0
   929,108886,19660113,  -64,    0
   929,108886,19660114,  -59,    0
   929,108886,19660115,  -72,    0
   929,108886,19660116, -104,    0
   929,108886,19660117,  -78,    0
   929,108886,19660118,  -97,    0
   929,108886,19660119, -107,    0
   929,108886,19660120,  -96,    0
   929,108886,19660121,  -72,    0
   929,108886,19660122,  -69,    0
   929,108886,19660123,   -9,    0
   929,108886,19660124,    1,    0
   929,108886,19660125,  -32,    0
   929,108886,19660126,  -43,    0
   929,108886,19660127,  -84,    0
   929,108886,19660128,  -89,    0
   929,108886,19660129,  -47,    0
   929,108886,19660130,  -40,    0
   929,108886,19660131,   11,    0
